Job Title,Position Count,Company,Location,Description,Date,Deadline,Job Type,Link
Vil du være med å utvikle Storebrands Forsikrings datavarehus?,1,Storebrand,-Not found-,Vil du være med å utvikle Storebrands Forsikrings datavarehus?,-Not found-,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344265681
Data scientist,1,Skatteetaten, Bergen,Data scientist,2024-03-15,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=344255412
Online Data Analyst,10,TELUS International AI Inc, USA,Online Data Analyst,2024-03-13,False,parttime,https://www.finn.no/job/parttime/ad.html?finnkode=343961632
Brand & Guest Data Analyst,1,Hurtigruten Norway,Oslo,Brand & Guest Data Analyst,2024-03-21,True,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342281710
Head Energy is looking for a skilled/experienced Data Analyst,1,Head Energy IT Consulting, Sandnes,Head Energy is looking for a skilled/experienced Data Analyst,2024-03-04,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=342723474
"Trives du med tall, data og programmering?",1,Gjensidige, Oslo,"Trives du med tall, data og programmering?",2024-03-11,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343692634
Frivind søker Machine Learning Engineer,1,Frivind AS, Sogndal,Frivind søker Machine Learning Engineer,2024-03-21,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=202007631
Are you looking for an exciting and multifaceted role in the field of data science and sales development?,1,Kongsberg Discovery, Horten,Are you looking for an exciting and multifaceted role in the field of data science and sales development?,2024-03-06,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343043204
Join us in developing ground-breaking products for aquaculture,1,OptoScale, Trondheim,Join us in developing ground-breaking products for aquaculture,2024-03-06,False,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343001773
Do you deliver Service Above All?,1,NOV,Fornebu,Do you deliver Service Above All?,2024-03-21,True,fulltime,https://www.finn.no/job/fulltime/ad.html?finnkode=343183282
